COMPONENT|SOFTWARE_TYPE|MEME_HOME DIR|SHORTDSC|LONGDSC
xreports.pl|perl|bin|Extended Reports Client (xreports.pl)|Extended Perl script for generating concept reports.
stats.pl|perl|bin|Report Statistics (stats.pl)|Perl script for generating a report of server statistics.
memerun.pl|perl|bin|Client Wrapper (memerun.pl)|Perl script for setting up environment to be used by client applications.
jenscript.pl|perl|bin|Print HTML documents, including reports|Perl script for printing text or HTML documents.
meme.prop|properties|bin|MEME Properties File|A java properties file containing the default configuration options.
Release_Notice.html|release_notice|Release|Release_Notice.html|MEME 4 Software Release Notice
Release_Status.html|release_status|Release|Release_Status.html|MEME 4 Component Release Status
meme.jar|jar|java|MEME4 Packages (meme.jar)|Java archive containing all of the MEME4 code as well as the third party code required to run MEME4.
reindex_mid.pl|perl|bin|reindex_mid.pl|Reindexes all MID tables using a variable degree of OS parallelism.
rebuild_mid.pl|perl|bin|rebuild_mid.pl|Rebuilds all MID tables using a variable degree of OS parallelism.
validate.pl|perl|bin|validate.pl|Runs MID/MRD validation, used only on meow.
dump_mid.pl|perl|bin|dump_mid.pl|Writes all MEME tables to ASCII  using a variable degree of OS parallelism.
assign_cuis.pl|perl|bin|Assign CUIs|Perl script for assigning CUI's.
matrixinit.pl|perl|bin|Perform Matrix Initializer|Perl script for running matrix initializer.
log_operation.pl|perl|bin|Log an operation in activity_log|Perl script for logging an operation (used during source insertion).
synonyms.sql|sql|sql|synonyms.sql|Creates synonyms.
tables.sql|sql|sql|tables.sql|Creates the tables and primary keys.
views.sql|sql|sql|views.sql|Creates views.
indexes.sql|sql|sql|indexes.sql|Creates indexes.
assign_luis.csh|csh|bin|assign_luis.csh|Script for assigning LUI values when LVG changes
nlm02.csh|csh|bin|RxNorm Insertion Script|Script for inserting RxNorm content.
insert_foreign.csh|csh|bin|Foreign Language Insertion Script|Script for inserting content from non English language sources. 
wrk2src.pl|perl|bin|Convert .wrk to .src|Perl script for converting .wrk files (cd.scd) to .src files.
add_words.csh|csh|bin|add_words.csh|Load index tables (normwrd, normstr, word_index).
error_report.cgi|cgi|cgi-bin|Error Analysis Tool (error_report.cgi)|On-line tool for generating a comprehensive report of MEME errors for the past 24 hours.
mid_maintenance.cgi|cgi|cgi-bin|MID Maintenance Tool (mid_maintenance.cgi)|On-line tool for performing common MID maintenance operations.
mrdoc.cgi|cgi|cgi-bin|MRDOC Editing Tool (mrdoc.cgi)|On-line tool for editing MRDOC data.
rxnorm_maintenance.cgi|cgi|cgi-bin|RxNorm Maintenance Tool (rxnorm_maintenance.cgi)|On-line tool for performing common RxNorm maintenance operations.
release_maintenance.cgi|cgi|cgi-bin|Release Maintenance Tool (release_maintenance.cgi)|On-line tool for performing common pre-production/release operations.
MEME_APROCS.sql|plsql|sql|PL/SQL - MEME_APROCS|Oracle PL/SQL package for performing atomic actions.
MEME_BATCH_ACTIONS.sql|plsql|sql|PL/SQL - MEME_BATCH_ACTIONS|Oracle PL/SQL package used to run batch actions.
MEME_CONSTANTS.sql|plsql|sql|PL/SQL - MEME_CONSTANTS|Oracle PL/SQL package containing constants used by other packages.
MEME_INTEGRITY.sql|plsql|sql|PL/SQL - MEME_INTEGRITY|Oracle PL/SQL package containing procedures used by the integrity system and qa bins.
MEME_INTEGRITY_PROC.sql|plsql|sql|PL/SQL - MEME_INTEGRITY_PROC|Oracle PL/SQL package containing procedures used by the integrity system and qa bins. Also used by the matrix initializer.
MEME_OPERATIONS.sql|plsql|sql|PL/SQL - MEME_OPERATIONS|Oracle PL/SQL package containing MID operations procedures, like CUI assignment.
MEME_RANKS.sql|plsql|sql|PL/SQL - MEME_RANKS|Oracle PL/SQL package for managing ranks and field checking.
MEME_SOURCE_PROCESSING.sql|plsql|sql|PL/SQL - MEME_SOURCE_PROCESSING|Oracle PL/SQL package containing procedures for inserting sources into the MID.
MEME_TESTER.sql|plsql|sql|PL/SQL - MEME_TESTER|Oracle PL/SQL package containing procedures for generating test data.
MEME_SYSTEM.sql|plsql|sql|PL/SQL - MEME_SYSTEM|Oracle PL/SQL package with MID maintenance procedures.
MEME_UTILITY.sql|plsql|sql|PL/SQL - MEME_UTILITY|Oracle PL/SQL package with useful procedures.
meme_server.sh|sh|bin|MEME Server startup wrapper|Shell script that handles starting and stopping of the MEME server.
cronvalidate.csh|csh|bin|Wrapper around validate.pl|Used to run validate.pl as a cron process weekly.  Should be distributed to $MEME_HOME/bin on smis. 
